id,complexid,beheercode,naam,omschrijving,beheerobjectsoort,aard,netwerk,classificatie,bpscoderingid,route,traj_id,relatie_tot_weg,vaarweg,waterweghmtot,rdx,rdy,stichtingsjaar,status,sloopjaar,eigenaar,beheerder,ondplicht,beheergebied,inspinst,provincie1,provincie2,gemeente1,gemeente2,isinactive,waterweg,id_miok,instantieid,userid_insert,date_insert,userid_modified,date_modified,timestamp,ihonderdeelid,locatie,bpscoderingid,elementsoort,hoeveelheid,eenheid,materiaal,beheerobjectid,isonderdeelid,locatie,bouwdeelsoort,materiaal,ihonderdeelid,beheerobjectid
4978,2382,31H-005-01,Galecopperbrug zuid,Zuidelijke brug over het Amsterdam-Rijnkanaal nabij Utrecht,Bruggen (vast),Droog,HWN       ,Staal,4269,A12,30,in RW     ,NULL,NULL,"135,143","452,51",1971,in gebruik,NULL,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS GPO / RPC Noord-West,Utrecht,NULL,Utrecht (gem.),NULL,0,NULL,13924,1054,NULL,NULL,402,2014-07-25 10:52:58.000,0x00000000007975F9,23093,-,NULL,Oplegging,NULL,stuk,staal/teflon/rubber,4978,217754,STP 01-04,Oplegblok,beton,23093,4978
4978,2382,31H-005-01,Galecopperbrug zuid,Zuidelijke brug over het Amsterdam-Rijnkanaal nabij Utrecht,Bruggen (vast),Droog,HWN       ,Staal,4269,A12,30,in RW     ,NULL,NULL,"135,143","452,51",1971,in gebruik,NULL,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS GPO / RPC Noord-West,Utrecht,NULL,Utrecht (gem.),NULL,0,NULL,13924,1054,NULL,NULL,402,2014-07-25 10:52:58.000,0x00000000007975F9,23093,-,NULL,Oplegging,NULL,stuk,staal/teflon/rubber,4978,217760,STP 01+04,"Verankering, Algemeen",staal,23093,4978
4978,2382,31H-005-01,Galecopperbrug zuid,Zuidelijke brug over het Amsterdam-Rijnkanaal nabij Utrecht,Bruggen (vast),Droog,HWN       ,Staal,4269,A12,30,in RW     ,NULL,NULL,"135,143","452,51",1971,in gebruik,NULL,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS GPO / RPC Noord-West,Utrecht,NULL,Utrecht (gem.),NULL,0,NULL,13924,1054,NULL,NULL,402,2014-07-25 10:52:58.000,0x00000000007975F9,107461,-,31658,Laagspanningsinstallatie,NULL,NULL,-,4978,250523,geheel object,"Laagspanningsinstallatie, Algemeen",-,107461,4978
4978,2382,31H-005-01,Galecopperbrug zuid,Zuidelijke brug over het Amsterdam-Rijnkanaal nabij Utrecht,Bruggen (vast),Droog,HWN       ,Staal,4269,A12,30,in RW     ,NULL,NULL,"135,143","452,51",1971,in gebruik,NULL,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS GPO / RPC Noord-West,Utrecht,NULL,Utrecht (gem.),NULL,0,NULL,13924,1054,NULL,NULL,402,2014-07-25 10:52:58.000,0x00000000007975F9,107447,-,31658,Kabeldraagconstructie,NULL,NULL,-,4978,250490,geheel object,"Kabeldraagconstructie, Algemeen",-,107447,4978
4978,2382,31H-005-01,Galecopperbrug zuid,Zuidelijke brug over het Amsterdam-Rijnkanaal nabij Utrecht,Bruggen (vast),Droog,HWN       ,Staal,4269,A12,30,in RW     ,NULL,NULL,"135,143","452,51",1971,in gebruik,NULL,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS GPO / RPC Noord-West,Utrecht,NULL,Utrecht (gem.),NULL,0,NULL,13924,1054,NULL,NULL,402,2014-07-25 10:52:58.000,0x00000000007975F9,102353,-,31658,Inspectiewagen,NULL,NULL,-,4978,221307,-,"Inspectiewagen, Algemeen",staal,102353,4978
4978,2382,31H-005-01,Galecopperbrug zuid,Zuidelijke brug over het Amsterdam-Rijnkanaal nabij Utrecht,Bruggen (vast),Droog,HWN       ,Staal,4269,A12,30,in RW     ,NULL,NULL,"135,143","452,51",1971,in gebruik,NULL,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS GPO / RPC Noord-West,Utrecht,NULL,Utrecht (gem.),NULL,0,NULL,13924,1054,NULL,NULL,402,2014-07-25 10:52:58.000,0x00000000007975F9,23097,NULL,NULL,Leuning,NULL,m,staal,4978,50584,"STP 01+04, ZB 01","Leuning, Algemeen",staal,23097,4978
4978,2382,31H-005-01,Galecopperbrug zuid,Zuidelijke brug over het Amsterdam-Rijnkanaal nabij Utrecht,Bruggen (vast),Droog,HWN       ,Staal,4269,A12,30,in RW     ,NULL,NULL,"135,143","452,51",1971,in gebruik,NULL,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS GPO / RPC Noord-West,Utrecht,NULL,Utrecht (gem.),NULL,0,NULL,13924,1054,NULL,NULL,402,2014-07-25 10:52:58.000,0x00000000007975F9,23098,NULL,NULL,Hemelwaterafvoer (HWA),NULL,stuk,staal,4978,104667,-,"Hemelwaterafvoer (HWA), Algemeen",staal,23098,4978
4978,2382,31H-005-01,Galecopperbrug zuid,Zuidelijke brug over het Amsterdam-Rijnkanaal nabij Utrecht,Bruggen (vast),Droog,HWN       ,Staal,4269,A12,30,in RW     ,NULL,NULL,"135,143","452,51",1971,in gebruik,NULL,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS GPO / RPC Noord-West,Utrecht,NULL,Utrecht (gem.),NULL,0,NULL,13924,1054,NULL,NULL,402,2014-07-25 10:52:58.000,0x00000000007975F9,100807,Stalen Pylonen,31658,Pyloon,NULL,m2,beton,4978,217933,"STP 01+04, OVSP 02",ligger,staal,100807,4978
4978,2382,31H-005-01,Galecopperbrug zuid,Zuidelijke brug over het Amsterdam-Rijnkanaal nabij Utrecht,Bruggen (vast),Droog,HWN       ,Staal,4269,A12,30,in RW     ,NULL,NULL,"135,143","452,51",1971,in gebruik,NULL,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS GPO / RPC Noord-West,Utrecht,NULL,Utrecht (gem.),NULL,0,NULL,13924,1054,NULL,NULL,402,2014-07-25 10:52:58.000,0x00000000007975F9,100807,Stalen Pylonen,31658,Pyloon,NULL,m2,beton,4978,217934,OVSP 01-03,Tuiconstructie,staal,100807,4978
4978,2382,31H-005-01,Galecopperbrug zuid,Zuidelijke brug over het Amsterdam-Rijnkanaal nabij Utrecht,Bruggen (vast),Droog,HWN       ,Staal,4269,A12,30,in RW     ,NULL,NULL,"135,143","452,51",1971,in gebruik,NULL,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS MN / MN District Zuid,RWS GPO / RPC Noord-West,Utrecht,NULL,Utrecht (gem.),NULL,0,NULL,13924,1054,NULL,NULL,402,2014-07-25 10:52:58.000,0x00000000007975F9,100807,Stalen Pylonen,31658,Pyloon,NULL,m2,beton,4978,217935,STP 02+03,"Verankering, Algemeen",staal,100807,4978
